run,epoch,split,top1,top5,loss,wall_clock_min,lr,optimizer,prec_bits,device,model,batch_size,amp
Shampoo2 AdamW top half,28,val,67.4,90.11,1.4799981992721558,40.15287436644236,0.00040630934270713756,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,29,train,94.19,99.878,0.18831747558116912,41.548605700333916,0.00037565505641757246,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,29,val,67.15,90.23,1.4954920692443847,41.548605700333916,0.00037565505641757246,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,30,train,95.022,99.894,0.16349284826755522,42.903299848238625,0.00034549150281252633,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,30,val,67.85,90.28,1.4870970479011536,42.903299848238625,0.00034549150281252633,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,31,train,96.07,99.938,0.1347014769935608,44.29609318176905,0.00031593772365766105,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,31,val,67.15,90.05,1.5580805391311645,44.29609318176905,0.00031593772365766105,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,32,train,96.572,99.954,0.11729958865642548,45.68763196468353,0.00028711035421746355,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,32,val,68.63,90.46,1.526306611251831,45.68763196468353,0.00028711035421746355,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,33,train,97.394,99.974,0.09705029291152954,47.0813786149025,0.0002591231629491422,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,33,val,68.45,90.72,1.547911270904541,47.0813786149025,0.0002591231629491422,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,34,train,97.894,99.978,0.08298187199592591,48.508910330136615,0.00023208660251050145,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,34,val,68.86,90.26,1.5635466583251953,48.508910330136615,0.00023208660251050145,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,35,train,98.154,99.986,0.0723188022851944,49.93520796298981,0.00020610737385376337,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,35,val,68.39,90.68,1.5525887256622315,49.93520796298981,0.00020610737385376337,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,36,train,98.446,99.992,0.06384647101879119,51.37636549870173,0.00018128800512565502,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,36,val,68.77,90.43,1.6204251979827882,51.37636549870173,0.00018128800512565502,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,37,train,98.798,99.996,0.052887124671936035,52.78763741652171,0.00015772644703565555,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,37,val,68.98,90.53,1.5813236776351929,52.78763741652171,0.00015772644703565555,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,38,train,99.028,100.0,0.04466051399469376,54.18741753101349,0.00013551568628929425,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,38,val,69.63,90.7,1.5654935871124267,54.18741753101349,0.00013551568628929425,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,39,train,99.228,100.0,0.03987989852190018,55.61355426311493,0.00011474337861210535,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,39,val,69.56,90.4,1.6154992536544799,55.61355426311493,0.00011474337861210535,shampoo2-adamw,4,mps,resnet34,256,1
