run,epoch,split,top1,top5,loss,wall_clock_min,lr,optimizer,prec_bits,device,model,batch_size,amp
Shampoo1 AdamW 4-bit,39,val,69.12,90.46,1.546094027519226,115.68939584891001,0.00011474337861210535,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,40,train,99.398,100.0,0.034961105191707614,116.9859433333079,9.549150281252626e-05,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,40,val,69.57,90.43,1.542620496749878,116.9859433333079,9.549150281252626e-05,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,41,train,99.492,99.994,0.03171292560696602,118.32051116625468,7.783603724899252e-05,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,41,val,69.57,90.8,1.5311566135406494,118.32051116625468,7.783603724899252e-05,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,42,train,99.6,100.0,0.027869471575021745,119.61816998322804,6.184665997806817e-05,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,42,val,69.54,90.82,1.5397439449310302,119.61816998322804,6.184665997806817e-05,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,43,train,99.6,100.0,0.02645383794426918,120.91709383328755,4.7586473766990294e-05,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,43,val,69.72,90.89,1.526087530517578,120.91709383328755,4.7586473766990294e-05,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,44,train,99.682,100.0,0.0239237905433774,122.23941025336583,3.5111757055874305e-05,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,44,val,69.52,90.8,1.5274527313232422,122.23941025336583,3.5111757055874305e-05,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,45,train,99.77,99.998,0.02177323017895222,123.53350633382797,2.4471741852423218e-05,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,45,val,69.99,91.0,1.5213280298233032,123.53350633382797,2.4471741852423218e-05,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,46,train,99.752,100.0,0.02052474331140518,124.87407610019048,1.5708419435684507e-05,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,46,val,70.05,90.99,1.5175628910064698,124.87407610019048,1.5708419435684507e-05,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,47,train,99.758,100.0,0.019756043986082078,126.14871921936671,8.856374635655634e-06,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,47,val,70.27,91.09,1.5104984954833984,126.14871921936671,8.856374635655634e-06,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,48,train,99.764,100.0,0.01948612642288208,127.43177698453268,3.942649342761115e-06,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,48,val,70.28,90.99,1.511865851020813,127.43177698453268,3.942649342761115e-06,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,49,train,99.836,100.0,0.017868052151203156,128.76180814901988,9.866357858642198e-07,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,49,val,70.09,91.02,1.5114973533630371,128.76180814901988,9.866357858642198e-07,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,50,train,99.848,100.0,0.017881982958316802,130.08669654925663,0.0,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,50,val,70.13,90.91,1.5117818740844726,130.08669654925663,0.0,shampoo1-adamw,4,mps,resnet34,256,1
